city,country,latitude,longitude,population
"Al Kūfah","Iraq",32.0300,44.4000,166100
"Al Kūt","Iraq",32.4907,45.8304,321521
"Al Mafraq","Jordan",32.2833,36.2333,57118
"Al Manāqil","Sudan",14.2504,32.9800,151827
"Al Manşūrah","Egypt",31.0500,31.3833,960423
"Al Marj","Libya",32.5005,20.8300,169540
"Al Maḩallah al Kubrá","Egypt",30.9667,31.1667,543271
"Al Minyā","Egypt",28.0833,30.7500,236043
"Al Mubarraz","Saudi Arabia",25.4100,49.5808,298562
"Al Mukallā","Yemen",14.5333,49.1333,144137
"Al Musayyib","Iraq",32.7786,44.2900,76454
"Al Muḩarraq","Bahrain",26.2500,50.6167,75000
"Al Qaţīf","Saudi Arabia",26.5196,50.0115,368892
"Al Qāmishlī","Syria",37.0500,41.2167,184231
"Al Qūşīyah","Egypt",27.4403,30.8183,69388
"Al Ḩajar al Aswad","Syria",33.4581,36.3053,101827
"Al Ḩasakah","Syria",36.5117,40.7422,188160
"Al Ḩawīyah","Saudi Arabia",21.4411,40.4975,148151
"Al Ḩayy","Iraq",32.1742,46.0433,82900
"Al Ḩillah","Iraq",32.4833,44.4333,541034
"Al Ḩillah","Saudi Arabia",23.4895,46.7564,594605
"Al Ḩudaydah","Yemen",14.8022,42.9511,548433
"Al ‘Amārah","Iraq",31.8416,47.1512,345007
"Al ‘Aqabah","Jordan",29.5167,35.0000,140000
"Al ‘Arīsh","Egypt",31.1249,33.8006,178651
"Al ‘Ayn","United Arab Emirates",24.2075,55.7447,766936
"Alabel","Philippines",6.1023,125.2868,80359
"Alafaya","United States",28.5278,-81.1865,91068
"Alagoinhas","Brazil",-12.1356,-38.4192,124070
"Alamada","Philippines",7.3868,124.5534,64596
"Alameda","United States",37.7670,-122.2672,77624
"Alaminos","Philippines",16.1553,119.9808,89708
"Alangalang","Philippines",11.2000,124.8500,55235
"Alanya","Turkey",36.5436,31.9997,312319
"Alba Iulia","Romania",46.0764,23.5728,63536
"Albacete","Spain",38.9956,-1.8558,174336
"Albany","United States",31.5776,-84.1762,89217
"Albany","United States",42.6664,-73.7987,586383
"Albany","United States",44.6274,-123.0966,62880
"Alberton","South Africa",-26.2672,28.1219,121536
"Albuquerque","United States",35.1053,-106.6464,761195
"Alcalá de Guadaira","Spain",37.3333,-5.8500,75533
"Alchevsk","Ukraine",48.4672,38.7983,105398
"Alcorcón","Spain",40.3500,-3.8333,172384
"Alcoy","Spain",38.6983,-0.4736,59354
"Alegrete","Brazil",-29.7839,-55.7911,77653
"Aleksandrov","Russia",56.3936,38.7150,59328
"Aleksin","Russia",54.5000,37.0667,57892
"Alenquer","Brazil",-1.9419,-54.7378,57092
"Aleppo","Syria",36.2000,37.1500,1916781
"Alessandria","Italy",44.9133,8.6200,93980
"Alexandria","Egypt",31.2000,29.9167,4870000
"Alexandria","United States",31.2923,-92.4702,80129
"Alexandria","United States",38.8185,-77.0861,159428
"Alexandroúpoli","Greece",40.8500,25.8667,57812
"Alfenas","Brazil",-21.4289,-45.9469,80494
"Alfonso","Philippines",14.1379,120.8552,51839
"Algeciras","Spain",36.1275,-5.4539,123078
"Algiers","Algeria",36.7764,3.0586,3415811
"Alhambra","United States",34.0840,-118.1355,83750
"Aliaga","Philippines",15.4988,120.8410,63543
"Aliağa","Turkey",38.7998,26.9720,95392
"Alicante","Spain",38.3453,-0.4831,337482
"Alicia","Philippines",16.7787,121.6972,71504
"Aliso Viejo","United States",33.5792,-117.7289,50887
"Allahābād","India",25.4550,81.8400,1201000
"Allanmyo","Myanmar",19.3783,95.2279,57897
"Allen","United States",33.1088,-96.6735,105623
"Allentown","United States",40.5961,-75.4756,683794
"Alleppey","India",9.5004,76.3700,176783
"Almada","Portugal",38.6803,-9.1583,174030
"Almaty","Kazakhstan",43.2500,76.9000,1916822
"Almere","Netherlands",52.3758,5.2256,207904
"Almería","Spain",36.8403,-2.4681,201322
"Almetyevsk","Russia",54.9000,52.3000,154262
"Almirante Tamandaré","Brazil",-25.3250,-49.3100,120041
"Aloha","United States",45.4920,-122.8726,54287
"Alor Setar","Malaysia",6.1167,100.3667,217000
"Alpharetta","United States",34.0704,-84.2739,67213
"Alphen aan den Rijn","Netherlands",52.1333,4.6500,110986
"Alta Floresta","Brazil",-9.8758,-56.0858,50189
"Altamira","Brazil",-3.2028,-52.2058,115969
"Altamira","Mexico",22.3375,-97.8694,59536
"Altamura","Italy",40.8167,16.5500,70514
"Altay","China",47.8666,88.1166,142000
"Alto Hospicio","Chile",-20.2500,-70.1167,108375
"Alton","United States",38.9034,-90.1523,78905
"Altoona","United States",40.5082,-78.4007,74829
"Altrincham","United Kingdom",53.3838,-2.3547,52419
"Alvorada","Brazil",-29.9900,-51.0839,211352
"Alwar","India",27.5667,76.6167,341422
"Alīgarh","India",27.8800,78.0800,1131160
"Alīgūdarz","Iran",33.4006,49.6947,78690
"Alīpur Duār","India",26.4837,89.5667,127342
"Amadora","Portugal",38.7500,-9.2333,175136
"Amalāpuram","India",16.5833,82.0167,53231
"Amarillo","United States",35.1988,-101.8311,205603
"Amasya","Turkey",40.6500,35.8333,149084
"Amatitlán","Guatemala",14.4741,-90.6247,125000
"Ambato","Ecuador",-1.2417,-78.6197,165185
"Ambon","Indonesia",-3.7050,128.1700,372249
"Ambāla","India",30.3786,76.7725,146787
"Amealco","Mexico",20.1881,-100.1439,56457
"Americana","Brazil",-22.7392,-47.3314,479472
"Ames","United States",42.0259,-93.6215,67910
"Amherst","United States",43.0117,-78.7569,125509
"Amiens","France",49.8920,2.2990,136105
"Amman","Jordan",31.9500,35.9333,4007526
"Amozoc","Mexico",19.0333,-98.0500,60517
"Amritsar","India",31.6167,74.8500,1132383
"Amrāvati","India",20.9333,77.7500,549370
"Amsterdam","Netherlands",52.3667,4.8833,862965
"An Nabk","Syria",34.0250,36.7344,52502
"An Najaf","Iraq",32.0290,44.3396,724700
"An Nuhūd","Sudan",12.6904,28.4200,108008
"An Nāşirīyah","Iraq",31.0439,46.2575,541600
"Anaco","Venezuela",9.4333,-64.4667,162704
"Anaheim","United States",33.8390,-117.8572,350365
"Anakāpalle","India",17.6800,83.0200,86519
"Ananindeua","Brazil",-1.3658,-48.3719,535547
"Anantapur","India",14.6833,77.6000,267161
"Anapa","Russia",44.8944,37.3167,81447
"Anchorage","United States",61.1508,-149.1091,288000
"Ancona","Italy",43.6167,13.5167,100924
"Anda","China",46.4078,125.3252,520000
"Andahuaylas","Peru",-13.6575,-73.3833,80000
"Anderlecht","Belgium",50.8392,4.3297,120887
"Anderson","United States",34.5211,-82.6479,78512
"Anderson","United States",40.0891,-85.6893,85992
"Andijon","Uzbekistan",40.7000,72.3500,441700
"Andong","Korea, South",36.5656,128.7250,162180
"Andradina","Brazil",-20.8958,-51.3789,57250
"Andria","Italy",41.2317,16.3083,99857
"Andīmeshk","Iran",32.4500,48.3500,135116
"Angarsk","Russia",52.5667,103.9167,226374
"Angat","Philippines",14.9281,121.0293,59237
"Angeles City","Philippines",15.1472,120.5847,411634
"Angers","France",47.4736,-0.5542,152960
"Angono","Philippines",14.5234,121.1536,113283
"Angra dos Reis","Brazil",-23.0069,-44.3178,188276
"Angren","Uzbekistan",41.0167,70.1333,126962
"Anguo","China",38.4177,115.3204,370317
"Anju","Korea, North",39.6167,125.6667,240117
"Anjōmachi","Japan",34.9667,137.0833,188801
"Ankang","China",32.6877,109.0235,1100000
"Ankara","Turkey",39.9300,32.8500,5503985
"Ankeny","United States",41.7285,-93.6033,67355
"Anlu","China",31.2575,113.6783,720000
"Ann Arbor","United States",42.2755,-83.7312,322267
"Annaba","Algeria",36.9000,7.7667,257359
"Annaka","Japan",36.3264,138.8872,54602
"Annecy","France",45.9160,6.1330,126924
"Anniston","United States",33.6712,-85.8136,73501
"Anqing","China",30.5000,117.0333,4723000
"Anqiu","China",36.3619,119.1072,947723
"Ansan","Korea, South",37.3236,126.8219,652800
"Anseong","Korea, South",37.0078,127.2797,194765
"Anshan","China",41.1066,122.9895,3645884
"Anshun","China",26.2456,105.9340,2297612
"Antalya","Turkey",36.9081,30.6956,2426356
"Antananarivo","Madagascar",-18.9386,47.5214,2610000
"Antibes","France",43.5808,7.1239,72999
"Antigua Guatemala","Guatemala",14.5567,-90.7337,59091
"Antioch","United States",37.9789,-121.7958,302419
"Antipolo","Philippines",14.5842,121.1763,776386
"Antofagasta","Chile",-23.6464,-70.3980,348517
"Antony","France",48.7539,2.2975,62570
"Antratsyt","Ukraine",48.1167,39.0833,54640
"Antsirabe","Madagascar",-19.8667,47.0333,257163
"Antsiranana","Madagascar",-12.2765,49.3115,82937
"Antwerp","Belgium",51.2206,4.4003,920000
"António Enes","Mozambique",-16.2308,39.9105,57835
"Anuradhapura","Sri Lanka",8.3350,80.4108,63208
"Anyang","Korea, South",37.3925,126.9269,573296
"Anzhero-Sudzhensk","Russia",56.0833,86.0333,76217
"Anzio","Italy",41.4472,12.6283,52381
"Anápolis","Brazil",-16.3269,-48.9528,366491
"Aomori","Japan",40.8222,140.7475,271962
"Apalit","Philippines",14.9496,120.7587,107965
"Apapa","Nigeria",6.4489,3.3589,217362
"Aparri","Philippines",18.3550,121.6419,65649
"Apaseo el Alto","Mexico",20.4500,-100.6167,64443
"Apatity","Russia",67.5675,33.3933,55713
"Apatzingan de la Constitucion","Mexico",19.0886,-102.3508,128250
"Apeldoorn","Netherlands",52.2100,5.9700,161156
"Apex","United States",35.7239,-78.8728,59300
"Apizaco","Mexico",19.4167,-98.1333,81565
"Apopa","El Salvador",13.8000,-89.1833,131286
"Apopka","United States",28.7014,-81.5304,53447
"Apple Valley","United States",34.5328,-117.2104,73453
"Apple Valley","United States",44.7457,-93.2006,55135
"Appleton","United States",44.2779,-88.3891,220570
"Apucarana","Brazil",-23.5508,-51.4608,136234
"Aqsū","Kazakhstan",52.0333,76.9167,69354
"Aqtaū","Kazakhstan",43.6500,51.1500,183350
"Aqtöbe","Kazakhstan",50.3000,57.1667,387807
"Aquiraz","Brazil",-3.9008,-38.3908,77717
"Ar Ramādī","Iraq",33.4258,43.2992,456853
"Ar Raqqah","Syria",35.9500,39.0167,299824
"Ar Rastan","Syria",34.9167,36.7333,61176
"Aracaju","Brazil",-10.9111,-37.0717,685356
"Aracati","Brazil",-4.5619,-37.7700,72727
"Araci","Brazil",-11.3328,-38.9669,56370
"Arad","Romania",46.1667,21.3167,159074
"Araguari","Brazil",-18.6489,-48.1869,117825
"Araguaína","Brazil",-7.1908,-48.2069,183381
"Arakawa","Japan",35.7333,139.7833,217891
"Arao","Japan",32.9867,130.4333,50570
"Arapiraca","Brazil",-9.7525,-36.6611,187668
"Arapongas","Brazil",-23.4189,-51.4239,124810
"Arar","Saudi Arabia",30.9833,41.0167,167057
"Araranguá","Brazil",-28.9350,-49.4858,68867
"Araraquara","Brazil",-21.7939,-48.1758,226508
"Araras","Brazil",-22.3569,-47.3839,128895
"Araripina","Brazil",-7.5500,-40.5667,84864
"Araruama","Brazil",-22.8728,-42.3428,134293
"Arauca","Colombia",7.0903,-70.7617,96814
"Araucária","Brazil",-25.5928,-49.4100,146214
"Araxá","Brazil",-19.5928,-46.9408,107337
"Arayat","Philippines",15.1493,120.7692,133492
"Araçatuba","Brazil",-21.2089,-50.4328,192757
"Arcadia","United States",34.1342,-118.0373,57939
"Arcoverde","Brazil",-8.4189,-37.0539,74822
"Ardabīl","Iran",38.2500,48.3000,482632
"Arden-Arcade","United States",38.6034,-121.3810,102864
"Areguá","Paraguay",-25.3000,-57.4169,77652
"Arequipa","Peru",-16.3988,-71.5369,1008290
"Arezzo","Italy",43.4631,11.8781,99419
"Argao","Philippines",9.8833,123.6000,72366
"Argenteuil","France",48.9500,2.2500,110210
"Ariana","Tunisia",36.8625,10.1956,114486
"Arica","Chile",-18.4784,-70.3211,202131
"Ariquemes","Brazil",-9.9161,-63.0408,109523
"Arjona","Colombia",10.2550,-75.3447,78070
"Arkhangelsk","Russia",64.5500,40.5333,351488
"Arles","France",43.6767,4.6278,52548
"Arlington","United States",32.6998,-97.1250,398854
"Arlington","United States",38.8786,-77.1011,233464
"Arlington Heights","United States",42.0955,-87.9825,74760
"Arlit","Niger",18.8200,7.3300,100000
"Armant","Egypt",25.6167,32.5333,76457
"Armavir","Russia",45.0000,41.1167,190709
"Armenia","Colombia",4.5389,-75.6725,301226
"Armūr","India",18.7900,78.2900,64023
"Arnhem","Netherlands",51.9833,5.9167,148070
"Arnsberg","Germany",51.3967,8.0644,73628
"Arona","Spain",28.0996,-16.6809,82777
"Aroroy","Philippines",12.5125,123.3989,86168
"Arrecife","Spain",28.9625,-13.5506,64645
"Arroyo Grande","United States",35.1241,-120.5845,54177
"Arroyo Naranjo","Cuba",23.0436,-82.3328,210053
"Arsenyev","Russia",44.1667,133.2667,52471
"Artemisa","Cuba",22.8136,-82.7633,59130
"Artur Nogueira","Brazil",-22.5731,-47.1725,50246
"Artëm","Russia",43.3500,132.1833,106692
"Arua","Uganda",3.0300,30.9100,250000
"Arujá","Brazil",-23.3967,-46.3211,83939
"Arusha","Tanzania",-3.3667,36.6833,416442
"Arvada","United States",39.8321,-105.1511,121272
"Arzamas","Russia",55.3833,43.8000,104547
"Arāk","Iran",34.0800,49.7000,484212
"As Salamīyah","Syria",35.0111,37.0531,110683
"As Salţ","Jordan",32.0333,35.7333,88900
"As Samāwah","Iraq",31.3167,45.2833,215000
"As Sulaymānīyah","Iraq",35.5500,45.4333,656100
"As Suwaydā’","Syria",32.7000,36.5667,64730
"As Sīb","Oman",23.6802,58.1825,237816
"Asahi","Japan",35.7203,140.6467,63507
"Asahikawa","Japan",43.7706,142.3650,331392
"Asan","Korea, South",36.3500,126.9167,319929
"Asbest","Russia",57.0000,61.4667,64091
"Aschaffenburg","Germany",49.9757,9.1478,70527
"Asenovgrad","Bulgaria",42.0082,24.8773,59793
"Ash Shaykh ‘Uthmān","Yemen",12.8866,45.0279,105248
"Ash Shaţrah","Iraq",31.4175,46.1772,161949
"Ash Shiḩr","Yemen",14.7608,49.6069,68313
"Ashdod","Israel",31.7978,34.6503,220174
"Asheville","United States",35.5704,-82.5536,312507
"Ashford","United Kingdom",51.1465,0.8676,74204
"Ashgabat","Turkmenistan",37.9500,58.3833,1031992
"Ashino","Japan",42.9750,144.3747,198566
"Ashqelon","Israel",31.6658,34.5664,134454
"Asingan","Philippines",16.0023,120.6695,57355
"Asker","Norway",59.8331,10.4392,61523
"Asmara","Eritrea",15.3333,38.9167,963000
"Aspen Hill","United States",39.0928,-77.0823,53049
"Assab","Eritrea",13.0078,42.7411,74405
"Assen","Netherlands",52.9967,6.5625,62237
"Assis","Brazil",-22.6619,-50.4119,101597
"Asti","Italy",44.9000,8.2069,76211
"Astrakhan","Russia",46.3333,48.0167,532504
"Asunción","Paraguay",-25.3000,-57.6333,1870000
"Aswān","Egypt",24.0889,32.8997,267913
"Asyūţ","Egypt",27.1869,31.1714,389307
"At Tall","Syria",33.6103,36.3106,63554
"Atakpamé","Togo",7.5300,1.1200,80683
"Atascocita","United States",29.9777,-95.1953,81557
"Atbara","Sudan",17.7167,33.9833,139768
"Ath Thawrah","Syria",35.8344,38.5464,84000
"Athens","Greece",37.9842,23.7281,664046
"Athens","United States",33.9508,-83.3689,141532
"Athi River","Kenya",-1.4500,36.9833,81302
"Atibaia","Brazil",-23.1172,-46.5506,137187
"Atimonan","Philippines",14.0036,121.9199,63432
"Atlanta","United States",33.7627,-84.4224,5449398
"Atlantic City","United States",39.3797,-74.4527,237054
"Attock Khurd","Pakistan",33.7667,72.3667,97374
"Atushi","China",39.7114,76.1753,240368
"Atyraū","Kazakhstan",47.1167,51.8833,163221
"Aubervilliers","France",48.9131,2.3831,86375
"Auburn","United States",32.6087,-85.4899,92777
"Auburn","United States",47.3039,-122.2108,81464
"Auckland","New Zealand",-36.8500,174.7833,1470100
"Augsburg","Germany",48.3717,10.8983,295135
"Augusta","United States",33.3645,-82.0708,390809
"Aulnay-sous-Bois","France",48.9386,2.4906,85740
"Aurangābād","India",19.8800,75.3200,1371330
"Aurangābād","India",24.7704,84.3800,95929
"Aurora","Canada",44.0000,-79.4667,55445
"Aurora","Philippines",13.3500,122.5167,61473
"Aurora","Philippines",7.9484,123.5819,50755
"Aurora","United States",39.7087,-104.7273,379289
"Aurora","United States",41.7637,-88.2901,197757
"Austin","United States",30.3004,-97.7522,1687311
"Autlán de Navarro","Mexico",19.7667,-104.3667,60572
"Avaré","Brazil",-23.0986,-48.9258,81285
"Aveiro","Portugal",40.6389,-8.6553,78450
"Avellino","Italy",40.9153,14.7897,53908
"Aversa","Italy",40.9730,14.2065,52794
"Avignon","France",43.9500,4.8075,93671
"Avilés","Spain",43.5561,-5.9083,77791
"Avondale","United States",33.3858,-112.3236,227289
"Awka","Nigeria",6.2000,7.0667,301657
"Ayacucho","Peru",-13.1631,-74.2244,180766
"Aydın","Turkey",37.8481,27.8453,191037
"Aylesbury","United Kingdom",51.8168,-0.8124,58740
"Az Zaqāzīq","Egypt",30.5667,31.5000,302840
"Az Zarqā’","Jordan",32.0833,36.1000,481300
"Az Zubaydīyah","Iraq",32.7588,45.1773,70000
"Az Zubayr","Iraq",30.3892,47.7081,370000
"Az Zāwīyah","Libya",32.7604,12.7200,200000
"Azare","Nigeria",11.6804,10.1900,105687
"Azov","Russia",47.1000,39.4167,80721
"Azrou","Morocco",33.4300,-5.2100,54350
"Azua","Dominican Republic",18.4600,-70.7400,128264
"Azul","Argentina",-36.7833,-59.8500,55728
"Azumino","Japan",36.3039,137.9056,93927
"Azzaba","Algeria",36.7333,7.1000,56922
"Açailandia","Brazil",-4.9469,-47.5050,113121
"Açu","Brazil",-5.5769,-36.9089,58384
"Aïn Harrouda","Morocco",33.6372,-7.4483,62420
"Aïn Oussera","Algeria",35.4489,2.9044,101239
"Aïn Sefra","Algeria",32.7500,-0.5833,63420
"Ağrı","Turkey",39.7225,43.0544,149188
"Aş Şuwayḩirah as Sāḩil","Oman",24.3620,56.7344,151349
"Aţ Ţā’if","Saudi Arabia",21.2667,40.4167,579970
"Baao","Philippines",13.4535,123.3654,58849
"Babahoyo","Ecuador",-1.8167,-79.5167,90191
"Babruysk","Belarus",53.1500,29.2333,212200
"Babylon","United States",40.6924,-73.3585,211207
"Bacabal","Brazil",-4.2250,-44.7800,100014
"Bacacay","Philippines",13.2925,123.7917,68906
"Bacolod","Philippines",10.6765,122.9509,561875
"Bacoor","Philippines",14.4624,120.9645,600609
"Bacău","Romania",46.5833,26.9167,144307
"Bad Homburg","Germany",50.2292,8.6105,54248
"Bad Kreuznach","Germany",49.8469,7.8669,50948
"Bad Salzuflen","Germany",52.0875,8.7506,54127
"Badajoz","Spain",38.8803,-6.9753,150984
"Badalona","Spain",41.4333,2.2333,223166
"Bade","Taiwan",24.9575,121.2989,172065
"Baden-Baden","Germany",48.7619,8.2408,55123
"Badvel","India",14.7500,79.0500,70626
"Bafang","Cameroon",5.1704,10.1800,93145
"Bafia","Cameroon",4.7425,11.2247,69270
"Bafoussam","Cameroon",5.4667,10.4167,290768
"Bafra","Turkey",41.5682,35.9069,97452
"Baganga","Philippines",7.5752,126.5585,56241
"Baggao","Philippines",17.8894,121.8709,82782
"Baghdad","Iraq",33.3500,44.4167,5796000
"Bagheria","Italy",38.0833,13.5000,55047
"Baghlān","Afghanistan",36.1328,68.7000,73031
"Bago","Myanmar",17.3433,96.4981,284179
"Bago","Philippines",10.5388,122.8384,170981
"Baguio City","Philippines",16.4152,120.5956,345366
"Bagumbayan","Philippines",6.5339,124.5633,67061
"Bagé","Brazil",-31.3308,-54.1069,116794
"Baharampur","India",24.1000,88.2500,195223
"Bahawalnagar","Pakistan",29.9944,73.2536,141935
"Bahawalpur","Pakistan",29.3956,71.6722,762111
"Bahir Dar","Ethiopia",11.5850,37.3900,243300
"Bahraigh","India",27.6204,81.6699,182218
"Bahía Blanca","Argentina",-38.7167,-62.2667,299101
"Baia Mare","Romania",47.6597,23.5819,123738
"Baicheng","China",23.9010,106.6194,3466758
"Baicheng","China",45.6148,122.8320,386861
"Baidoa","Somalia",3.1167,43.6500,129839
"Baidyabāti","India",22.7900,88.3200,121110
"Baigou","China",39.1098,116.0139,124274
"Baiquan","China",47.6018,126.0819,70472
"Bais","Philippines",9.5907,123.1213,76291
"Baisha","China",29.4774,119.2853,446000
"Baishan","China",41.9377,126.4179,330000
"Baiyin","China",36.5448,104.1766,1799000
"Bajos de Haina","Dominican Republic",18.4200,-70.0300,155985
"Bakersfield","United States",35.3529,-119.0359,579295
"Bakhmut","Ukraine",48.6044,38.0067,75798
"Baku","Azerbaijan",40.3667,49.8352,2181800
"Balad","Iraq",34.0147,44.1456,80000
"Balagtas","Philippines",14.8145,120.9085,73929
"Balakovo","Russia",52.0390,47.7839,191260
"Balamban","Philippines",10.4667,123.7833,87177
"Balanga","Philippines",14.6833,120.5333,96061
"Balashikha","Russia",55.8000,37.9500,450771
"Balashov","Russia",51.5500,43.1667,76776
"Balayan","Philippines",13.9333,120.7333,90699
"Balboa Heights","Panama",8.9500,-79.5667,62882
"Baldwin Park","United States",34.0829,-117.9721,75251
"Balikpapan","Indonesia",-1.1489,116.9031,598043
